,Address,Google_ID,Latitude,Longitude,Name,Price_Level,Rating,Zip,City_State_Cuisine
0,"1501 S 1st St, Austin, TX 78704, USA",e6f8fc91656eeded19fd8c052ea5b527a7737b30,30.249786699999998,-97.7546566,Elizabeth Street Cafe,3.0,4.3,78704,austin-tx-french
1,"1207 S 1st St, Austin, TX 78704, USA",7ec20c2b0b06aefc84c4918baff9699273280dc2,30.25184699999999,-97.753896,Saperlipopette! (French Crepes),0.0,5.0,78704,austin-tx-french
2,"88 1/2 Rainey St, Austin, TX 78701, USA",b6b67516fe35e735ba67bd8537b9dbab51b10cfd,30.2599125,-97.7385167,L'estelle House,0.0,4.5,78701,austin-tx-french
3,"200 San Jacinto Blvd A, Austin, TX 78701, USA",9a48a73ea45302d15fff6e039dabc100867517d7,30.263978100000003,-97.7419046,Le Café Crêpe,1.0,4.3,78701,austin-tx-french
4,"110 San Antonio St, Austin, TX 78701, USA",6a9c702ac129afd0c82fd0bc8a3eccd4b57f0e9a,30.2655157,-97.74925960000002,Le Politique,3.0,4.3,78701,austin-tx-french
5,"510 Neches St, Austin, TX 78701, USA",23b06c5ec5929d98a06616c7dba96705f21f9c2c,30.26646599999999,-97.738595,Chez Nous,2.0,4.4,78701,austin-tx-french
6,"208 W 4th St, Austin, TX 78701, USA",6297659079f769760dbe55ad676c44fd2c4f5a4c,30.266927000000003,-97.745172,Péché,0.0,4.5,78701,austin-tx-french
7,"1115 E 11th St, Austin, TX 78702, USA",01779708fb644f5d4bbd8b43bbd47bd16cbaff18,30.268849300000003,-97.7287307,Blue Dahlia Bistro,2.0,4.6,78702,austin-tx-french
8,"4710 E 5th St, Austin, TX 78702, USA",553fd31c1eaeda0a770d0f910279c7d7b3620d28,30.253234499999998,-97.7005786,Justine's,2.0,4.5,78702,austin-tx-french
9,"3663 Bee Caves Rd, West Lake Hills, TX 78746, USA",a29ca6c5d703133dc5345541efbb7fc4192eac65,30.27851279999999,-97.8077332,Blue Dahlia Bistro,0.0,4.5,78746,austin-tx-french
10,"3110 Guadalupe St, Austin, TX 78705, USA",f25416306688afad6e25088e4cd70e90fc67463a,30.298444,-97.74124700000002,Hopfields,1.0,4.5,78705,austin-tx-french
11,"5350 Burnet Rd, Austin, TX 78756, USA",0d6fb7db6d7f7b3a51e2537495292cef5ec38b0e,30.32785849999999,-97.7400318,Bonhomie,2.0,4.4,78756,austin-tx-french
12,"9828 Great Hills Trail #650, Austin, TX 78759, USA",4ce50257ef032506d4e9c109f8ade04e99239e36,30.395688,-97.747197,la Madeleine French Bakery & Café,2.0,4.1,78759,austin-tx-french
13,"3120 Palm Way #150, Austin, TX 78758, USA",33d7b19918200c6e3cda86073c8daaa5ff19f510,30.402966600000003,-97.7214036,Toulouse Domain,2.0,4.5,78758,austin-tx-french
14,"13000 I-35 #600, Austin, TX 78753, USA",70c35a7f16bc464ff76854875104d3d54f2c7579,30.4120248,-97.675874,French Quarter Grille,2.0,4.6,78753,austin-tx-french
15,"509 Hearn St, Austin, TX 78703, USA",543c7c7714b982c9933ba52bdaf265077870f3e8,30.2789376,-97.7726218,Fabi + Rosi,2.0,4.7,78703,austin-tx-french
16,"2323 S Lamar Blvd, Austin, TX 78704, USA",eb14e56ee854f8b28f6e9cde4ca7ebe1d1d43a65,30.246815299999998,-97.7767178,French Tex Cuisine,0.0,3.8,78704,austin-tx-french
17,"10515 N. Mopac Expy. NB, Austin, TX 78758, United States",7d05a62619daa7ddd8b26167fa262db5d5d0d7b1,30.3858728,-97.73429,Mimi's Cafe,2.0,3.9,78758,austin-tx-french
18,"12613 Galleria Pkwy, Bee Cave, TX 78738, USA",d3a09429e9ef88ebbb677de409cbe0cb3e4553fe,30.306859000000003,-97.9382097,Mimi's Cafe,2.0,3.6,78738,austin-tx-french
19,"2900 Rio Grande St, Austin, TX 78705, USA",a6ceb0c9f5ab9295b1effc98431c98e5dc54b529,30.2961344,-97.74406970000001,Texas French Bread,2.0,4.3,78705,austin-tx-french
20,"504 Trinity St, Austin, TX 78701, USA",55559b322cab8a2eec450c2c31d69c83a053d211,30.2666002,-97.7396714,Old Pecan Street Cafe,0.0,4.2,78701,austin-tx-french
21,"101-153 W 3rd St, Austin, TX 78701, USA",f3d572f8f1e31169a9b725c13a6ef9a5f73709ab,30.265214299999997,-97.7439698,French Food trailer,0.0,0.0,78701,austin-tx-french
22,"1204 W Lynn St, Austin, TX 78703, USA",c788965846671011efb94c299626b90e2b1ba256,30.280423,-97.7591146,Jeffrey's,3.0,4.3,78703,austin-tx-french
23,"1014 N Lamar Blvd, Austin, TX 78703, USA",7f1ae4798e54595a4dd1cc20e9c5baa1a544b1eb,30.2757662,-97.7524833,Wink,3.0,4.3,78703,austin-tx-french
24,"2304 Lake Austin Blvd, Austin, TX 78703, USA",e20cd08b659050cfe07943b4792422483730c3e3,30.278007399999996,-97.7716588,Magnolia Cafe,2.0,4.3,78703,austin-tx-french
25,"2608 W 7th St, Austin, TX 78703, USA",5cbbcd9851f7021c65f23e10800f07d4e91e6d1a,30.2828118,-97.77566790000002,Maudie's Cafe,2.0,4.0,78703,austin-tx-french
26,"107 E Hopkins St, San Marcos, TX 78666, USA",fdebd0d7c904ee7d685473aa4049887db446e9a4,29.8833403,-97.9412051,Blue Dahlia Bistro,0.0,4.6,78666,austin-tx-french
