,Address,Google_ID,Latitude,Longitude,Name,Price_Level,Rating,Zip,City_State_Cuisine
0,"202 S University Parks Dr, Waco, TX 76701, USA",02133798c566e191a64a79e43206d1f1d086e61d,31.5590217,-97.12665820000001,Artisan Oven,0.0,5.0,76701,waco-tx-pizza
1,"416 Franklin Ave, Waco, TX 76701, USA",32898098f0e64e43f4ab895da3df25432b3438bc,31.556098,-97.130387,Clay Pot Restaurant,2.0,4.0,76701,waco-tx-pizza
2,"725 Austin Ave, Waco, TX 76708, USA",6947b32dd92e6eb2dda7d9dd2e67f93829ae8b04,31.5549064,-97.1343661,Portofino's,0.0,4.1,76708,waco-tx-pizza
3,"919 S 6th St, Waco, TX 76706, USA",8ecf50f37c1091644c06f613a4f5f013f3c1e44c,31.548913300000002,-97.1249486,Fazoli's,1.0,4.0,76706,waco-tx-pizza
4,"1201 Speight Ave, Waco, TX 76706, USA",5e868ca75610adf2040560e1f7987ee333f1c2a1,31.5398417,-97.1252252,Domino's Pizza,1.0,3.3,76706,waco-tx-pizza
5,"1712 S 12th St, Waco, TX 76706, USA",3ef8b962a81f31ae0758c1beef82c1c3f174633f,31.5388475,-97.1229396,Shorty's Pizza Shack,2.0,4.6,76706,waco-tx-pizza
6,"703 N Valley Mills Dr, Waco, TX 76710, USA",a8fadbffc20f090fead99504fc0c191d3b29ca9a,31.529881,-97.176995,Poppa Rollo's Pizza,2.0,4.4,76710,waco-tx-pizza
7,"1609 N Valley Mills Dr, Waco, TX 76710, USA",ce727db5b7002dee11a539b3bd91e07ba5890d37,31.5323788,-97.1957056,Cicis,0.0,2.8,76710,waco-tx-pizza
8,"4700 Bosque Blvd, Waco, TX 76710, USA",86d305ad6a1e15a69f1b4314840cd4be04b9e935,31.53582,-97.18641600000001,MOROSO Wood Fired Pizzeria,0.0,4.5,76710,waco-tx-pizza
9,"720 S 7th St, Waco, TX 76706, USA",d1ac243db679d3c835a12ffb1500139db8e30032,31.5493124,-97.12617990000001,Papa John's Pizza,0.0,4.0,76706,waco-tx-pizza
10,"904 N Valley Mills Dr, Waco, TX 76710, USA",a5bbc7aaf3082304bb114b0b768f0058626bff31,31.5297208,-97.1819319,Baris,2.0,4.6,76710,waco-tx-pizza
11,"113 S University Parks Dr, Waco, TX 76701, USA",6d382e6c8c48b30b98c849b65ad7c0ca1da45dae,31.5596648,-97.129006,Brazos Grille at the Hilton Waco,0.0,5.0,76701,waco-tx-pizza
12,"1111 S 8th St, Waco, TX 76706, USA",79932b9fc8d90d4f2b344970bb64a8d7a25b812e,31.546077,-97.124846,Pizza Hut,1.0,3.4,76706,waco-tx-pizza
13,"1201 Hewitt Dr #214, Waco, TX 76712, USA",036e2480f18b00e4246793605407fd47c76232ff,31.4850413,-97.2118091,Poppa Rollo's Pizza - Hewitt Dr.,2.0,4.5,76712,waco-tx-pizza
14,"1424 Washington Ave, Waco, TX 76701, USA",df4cbb0796ae9f041d268de1983eecae7e35278c,31.549460999999997,-97.141725,1424 Bistro,2.0,4.0,76701,waco-tx-pizza
15,"1320 S Valley Mills Dr, Waco, TX 76711, USA",f077288b8048e6ac333995c5bf714d1a77e243d0,31.525936199999997,-97.1453635,Little Caesars Pizza,1.0,4.3,76711,waco-tx-pizza
16,"824 Hewitt Dr, Waco, TX 76712, USA",7813d81556d694b810549839f2aeb5312d391b3e,31.490029999999997,-97.213045,Rosati's Pizza Sports Pub,3.0,4.1,76712,waco-tx-pizza
