,Address,Google_ID,Latitude,Longitude,Name,Price_Level,Rating,Zip,City_State_Cuisine
0,"4607, 919 W Hildebrand Ave, San Antonio, TX 78201, United States",7b32fdb0b80aca606c86c19da42e7ec0e9c2c1d0,29.466663399999995,-98.5086321,Rolando's Super Tacos,1.0,4.1,78201,san antonio-tx-taco
1,"4263 NW Loop 410 #100, San Antonio, TX 78229, USA",e21d1b869b78e043ce915f0fa78f16d1fae09788,29.49022919999999,-98.5679063,Wapo Taco,0.0,4.4,78229,san antonio-tx-taco
2,"6307 San Pedro Ave, San Antonio, TX 78216, USA",6eeb4b16f3d8de5175f3708c249f9e78889df670,29.494628600000002,-98.4995308,Taco House,0.0,4.4,78216,san antonio-tx-taco
3,"145 E Hildebrand Ave, San Antonio, TX 78212, USA",b99fd09c569da004df1af5f5e42ebca42348bdf1,29.4666521,-98.4922626,Taco Taco Cafe,1.0,3.2,78212,san antonio-tx-taco
4,"203 S General McMullen Dr, San Antonio, TX 78237, USA",67efb77558e4240019d4c0812f0992cecf5e8ef1,29.4290106,-98.5546375,Mexico Taco Mexican Restaurant,0.0,4.4,78237,san antonio-tx-taco
5,"9502 I-10, San Antonio, TX 78230, USA",cf5cec74a5049c7530cbf42951f4cb863ceafda6,29.528356,-98.560514,Taco Tote San Antonio,2.0,4.0,78230,san antonio-tx-taco
6,"1032 S Presa St, San Antonio, TX 78210, USA",225934a7e371028b9dc2b9618a0f3f661658c708,29.409971999999996,-98.486688,Taco Haven,1.0,3.7,78210,san antonio-tx-taco
7,"1816 Thompson Pl, San Antonio, TX 78226, United States",30f2337159bd7539d4e7e693f4017656d134ae0f,29.3964803,-98.5592891,Fajita Taco Place,0.0,4.1,78226,san antonio-tx-taco
8,"4205 Fredericksburg Rd, San Antonio, TX 78201, USA",bd85b0d634ae3ef216f0d6a0d240b4b7712734cc,29.48585049999999,-98.5478045,Taco Cabana,1.0,3.8,78201,san antonio-tx-taco
9,"999 E Basse Rd #183, San Antonio, TX 78209, USA",7029e07c21f42a9d73d9676a6fa411c7321ae630,29.4975892,-98.47054,Torchy's Tacos,1.0,4.4,78209,san antonio-tx-taco
10,"3310 San Pedro Ave, San Antonio, TX 78212, USA",50758bd1b3b9e0c507846647c34e7cf0cbd4a16d,29.466179800000003,-98.499112,Taco Cabana,1.0,3.5,78212,san antonio-tx-taco
11,"6030 Bandera Rd, San Antonio, TX 78238, USA",5b2d7540b80d476db6c3ae3a7830bc55d143f8ab,29.483526899999998,-98.60465390000002,Henry's Puffy Tacos,0.0,4.2,78238,san antonio-tx-taco
